survived,pclass,wspd,lfwa,tprc,sibsp,fare,parch
0,3.0,22.0,44.0,23.75,1.0,7.25,0.0
1,1.0,38.0,76.0,215.8499,1.0,71.2833,0.0
1,3.0,26.0,52.0,25.775,0.0,7.925,0.0
1,2.2959086584205517,45.0,70.0,161.3,0.5134099616858238,53.1,0.0
0,3.0,235.0,70.0,26.15,0.0,8.05,0.36084452975047987
0,3.0,64.71582346609257,60.02368137782562,27.3749,0.0,32.11631225868726,0.0
0,1.0,54.0,108.0,157.58749999999998,0.0,51.8625,0.0
0,3.0,202.0,4.0,65.225,3.0,21.075,1.0
1,3.0,27.0,54.0,35.3999,0.0,11.1333,2.0
1,2.0,14.0,28.0,92.2124,1.0,32.11631225868726,0.0
1,3.0,4.0,8.0,52.1,1.0,16.7,1.0
1,2.2959086584205517,258.0,116.0,81.65,0.0,26.55,0.0
0,3.0,20.0,40.0,26.15,0.5134099616858238,8.05,0.0
0,3.0,39.0,78.0,95.825,1.0,32.11631225868726,5.0
0,3.0,14.0,28.0,25.5626,0.5134099616858238,7.8542,0.0
1,2.0,55.0,110.0,50.0,0.0,16.0,0.0
0,3.0,2.0,4.0,89.375,4.0,29.125,1.0
1,2.0,64.71582346609257,60.02368137782562,41.0,0.0,13.0,0.36084452975047987
0,3.0,31.0,62.0,56.0,1.0,18.0,0.0
1,3.0,64.71582346609257,60.02368137782562,23.675,0.0,7.225,0.0
0,2.0,45.0,70.0,80.0,0.0,26.0,0.0
1,2.0,34.0,68.0,41.0,0.0,13.0,0.0
1,3.0,25.0,30.0,26.0876,0.0,8.0292,0.0
1,1.0,28.0,56.0,108.5,0.0,35.5,0.0
0,3.0,8.0,16.0,65.225,3.0,21.075,1.0
1,3.0,38.0,76.0,96.1625,1.0,31.3875,5.0
0,3.0,64.71582346609257,60.02368137782562,23.675,0.0,7.225,0.0
0,1.0,219.0,38.0,791.0,0.5134099616858238,263.0,2.0
1,3.0,64.71582346609257,60.02368137782562,25.6376,0.0,7.8792,0.0
0,3.0,64.71582346609257,60.02368137782562,25.6874,0.5134099616858238,7.8958,0.0
0,1.0,240.0,80.0,85.1624,0.0,27.7208,0.0
1,1.0,64.71582346609257,60.02368137782562,441.5624,0.5134099616858238,32.11631225868726,0.36084452975047987
1,3.0,64.71582346609257,60.02368137782562,25.25,0.0,7.75,0.0
0,2.0,266.0,132.0,33.5,0.0,10.5,0.0
0,1.0,38.0,56.0,248.5124,1.0,82.1708,0.36084452975047987
0,1.0,52.0,84.0,158.0,1.0,52.0,0.0
1,3.0,64.71582346609257,60.02368137782562,23.6876,0.0,7.2292,0.0
0,3.0,221.0,42.0,26.15,0.0,8.05,0.0
0,3.0,18.0,36.0,56.0,2.0,18.0,0.36084452975047987
1,3.0,14.0,28.0,35.7251,1.0,11.2417,0.0
0,2.2959086584205517,40.0,80.0,30.425,1.0,9.475,0.0
0,2.0,27.0,54.0,65.0,1.0,21.0,0.0
0,2.2959086584205517,64.71582346609257,60.02368137782562,25.6874,0.0,7.8958,0.0
1,2.0,3.0,6.0,126.7376,0.5134099616858238,41.5792,2.0
1,3.0,19.0,38.0,25.6376,0.0,7.8792,0.0
0,3.0,64.71582346609257,60.02368137782562,26.15,0.5134099616858238,8.05,0.0
0,3.0,64.71582346609257,60.02368137782562,48.5,1.0,15.5,0.0
0,3.0,64.71582346609257,60.02368137782562,67.0376,2.0,21.6792,0.0
0,3.0,218.0,36.0,55.400000000000006,1.0,17.8,0.0
0,3.0,7.0,14.0,121.0625,4.0,32.11631225868726,1.0
0,3.0,31.0,42.0,25.4,0.0,7.8,0.0
1,1.0,49.0,98.0,232.18760000000003,1.0,76.7292,0.0
1,2.0,29.0,58.0,80.0,1.0,26.0,0.0
0,1.0,75.0,130.0,187.9376,0.0,32.11631225868726,1.0
1,1.0,64.71582346609257,60.02368137782562,108.5,0.0,32.11631225868726,0.0
1,2.2959086584205517,21.0,42.0,33.5,0.0,10.5,0.0
0,3.0,228.5,57.0,23.6876,0.0,7.2292,0.0
1,2.0,5.0,10.0,85.25,1.0,27.75,2.0
0,3.0,11.0,22.0,142.7,5.0,46.9,2.0
0,3.0,32.0,44.0,23.6876,0.0,7.2292,0.36084452975047987
1,1.0,38.0,76.0,242.0,0.0,80.0,0.0
0,1.0,55.0,90.0,252.425,1.0,83.475,0.0
0,3.0,4.0,8.0,85.69999999999999,3.0,32.11631225868726,2.0
0,1.0,64.71582346609257,60.02368137782562,85.1624,0.0,27.7208,0.0
1,3.0,64.71582346609257,60.02368137782562,47.7374,1.0,15.2458,1.0
1,2.0,29.0,58.0,33.5,0.0,10.5,0.0
0,3.0,19.0,38.0,26.4749,0.0,32.11631225868726,0.0
1,3.0,17.0,34.0,25.775,0.5134099616858238,32.11631225868726,2.0
0,3.0,26.0,52.0,27.9875,2.0,8.6625,0.0
0,2.0,42.0,64.0,33.5,0.0,10.5,0.0
0,3.0,16.0,32.0,142.7,5.0,46.9,2.0
0,2.0,21.0,42.0,222.5,0.5134099616858238,32.11631225868726,0.0
0,2.2959086584205517,26.0,52.0,45.3626,1.0,14.4542,0.0
1,3.0,232.0,64.0,171.4874,0.0,56.4958,0.0
0,3.0,25.0,50.0,24.950000000000003,0.0,7.65,0.0
0,3.0,64.71582346609257,60.02368137782562,25.6874,0.0,7.8958,0.0
0,3.0,64.71582346609257,60.02368137782562,26.15,0.0,8.05,0.0
1,2.0,200.83,1.66,89.0,0.5134099616858238,29.0,2.0
1,3.0,30.0,60.0,39.425,0.5134099616858238,32.11631225868726,0.36084452975047987
0,3.0,22.0,44.0,29.0,0.0,9.0,0.0
1,3.0,29.0,58.0,30.5,0.0,9.5,0.0
1,3.0,64.71582346609257,60.02368137782562,25.3625,0.0,7.7875,0.0
0,1.0,28.0,56.0,143.3,0.0,47.1,0.0
1,2.0,17.0,34.0,33.5,0.0,10.5,0.0
1,3.0,33.0,66.0,49.55,3.0,15.85,0.0
0,3.0,16.0,32.0,105.125,1.0,34.375,3.0
0,3.0,64.71582346609257,60.02368137782562,26.15,0.0,8.05,0.36084452975047987
1,1.0,23.0,46.0,791.0,3.0,32.11631225868726,2.0
0,3.0,24.0,48.0,26.15,0.0,32.11631225868726,0.0
0,3.0,29.0,58.0,26.15,0.5134099616858238,8.05,0.0
0,3.0,220.0,40.0,25.5626,0.0,7.8542,0.0
0,2.2959086584205517,46.0,92.0,185.525,1.0,61.175,0.0
0,3.0,226.0,52.0,63.725,1.0,20.575,0.36084452975047987
0,3.0,59.0,118.0,23.75,0.0,7.25,0.0
0,1.0,71.0,142.0,105.9626,0.0,34.6542,0.0
1,1.0,23.0,46.0,192.0749,0.0,63.3583,1.0
1,2.0,34.0,68.0,71.0,0.0,23.0,1.0
0,2.0,34.0,68.0,80.0,1.0,26.0,0.0
0,3.0,228.0,56.0,25.6874,0.0,7.8958,0.0
0,2.2959086584205517,64.71582346609257,60.02368137782562,25.6874,0.0,7.8958,0.0
0,1.0,21.0,42.0,233.8625,0.0,77.2875,1.0
0,3.0,233.0,66.0,27.9626,0.0,8.6542,0.0
0,3.0,47.0,74.0,25.775,2.0,7.925,0.0
0,3.0,28.0,56.0,25.6874,0.0,7.8958,0.0
1,3.0,31.0,42.0,24.950000000000003,0.0,7.65,0.0
1,3.0,64.71582346609257,60.02368137782562,25.325000000000003,0.0,7.775,0.0
0,3.0,38.0,76.0,25.6874,0.0,7.8958,0.0
1,3.0,64.71582346609257,60.02368137782562,74.44999999999999,1.0,24.15,0.0
0,1.0,47.0,94.0,158.0,0.0,32.11631225868726,0.0
0,3.0,14.5,29.0,45.3626,1.0,14.4542,0.36084452975047987
0,3.0,32.0,44.0,26.15,0.0,8.05,0.0
0,3.0,220.0,40.0,31.475,0.5134099616858238,9.825,0.0
0,2.2959086584205517,17.0,34.0,45.3749,0.0,14.4583,0.0
0,3.0,221.0,42.0,25.775,0.0,7.925,0.0
0,3.0,70.5,141.0,25.25,0.0,7.75,0.0
0,2.0,39.0,58.0,65.0,1.0,21.0,0.0
0,1.0,24.0,48.0,744.5624,0.0,32.11631225868726,1.0
0,3.0,202.0,4.0,95.825,4.0,31.275,2.0
0,2.0,21.0,42.0,222.5,2.0,73.5,0.36084452975047987
0,2.2959086584205517,64.71582346609257,60.02368137782562,26.15,0.0,8.05,0.36084452975047987
0,2.0,32.5,65.0,92.2124,1.0,30.0708,0.36084452975047987
1,2.0,42.5,65.0,41.0,0.0,13.0,0.0
0,1.0,54.0,108.0,233.8625,0.0,77.2875,1.0
1,3.0,22.0,24.0,35.7251,1.0,11.2417,0.0
0,3.0,64.71582346609257,60.02368137782562,25.25,0.0,7.75,0.0
1,3.0,24.0,48.0,23.4251,0.0,7.1417,0.0
1,2.2959086584205517,64.71582346609257,60.02368137782562,69.0749,1.0,22.3583,1.0
0,2.2959086584205517,245.0,90.0,22.925,0.0,6.975,0.0
0,3.0,33.0,66.0,25.6874,0.0,7.8958,0.0
0,3.0,20.0,40.0,23.15,0.0,7.05,0.0
0,2.2959086584205517,47.0,94.0,45.5,1.0,14.5,0.0
1,2.0,229.0,58.0,80.0,1.0,26.0,0.0
0,2.0,25.0,50.0,41.0,0.5134099616858238,13.0,0.0
0,2.0,23.0,46.0,47.1374,0.0,15.0458,0.0
1,1.0,219.0,38.0,80.8499,0.0,26.2833,2.0
0,1.0,37.0,74.0,161.3,1.0,53.1,0.0
0,3.0,16.0,32.0,29.6501,0.0,9.2167,0.0
0,1.0,34.0,48.0,239.6,0.0,79.2,0.0
0,3.0,64.71582346609257,60.02368137782562,47.7374,0.0,32.11631225868726,2.0
1,3.0,22.0,44.0,25.25,0.0,7.75,0.0
1,3.0,34.0,48.0,49.55,1.0,15.85,0.0
0,3.0,19.0,38.0,22.25,0.0,6.75,0.0
0,2.0,18.0,36.0,36.5,0.0,32.11631225868726,0.0
0,2.0,29.0,38.0,112.25,1.0,36.75,1.0
1,3.0,27.0,54.0,25.3874,0.0,32.11631225868726,0.36084452975047987
0,3.0,9.0,18.0,105.125,2.0,34.375,2.0
0,2.0,36.5,73.0,80.0,0.0,26.0,2.0
0,2.0,42.0,84.0,41.0,0.0,13.0,0.0
0,2.0,51.0,102.0,39.575,0.0,12.525,0.36084452975047987
1,1.0,32.0,44.0,201.8,1.0,66.6,0.0
0,3.0,55.5,111.0,26.15,0.0,32.11631225868726,0.0
0,3.0,50.5,81.0,45.5,0.0,14.5,2.0
0,3.0,64.71582346609257,60.02368137782562,23.9375,0.0,32.11631225868726,0.36084452975047987
0,1.0,51.0,102.0,186.1376,0.0,61.3792,1.0
1,3.0,16.0,32.0,25.1999,0.0,7.7333,0.0
0,3.0,30.0,60.0,26.15,0.0,32.11631225868726,0.0
0,3.0,64.71582346609257,60.02368137782562,27.9875,0.0,8.6625,0.0
0,3.0,64.71582346609257,60.02368137782562,210.65,8.0,69.55,2.0
0,3.0,54.0,88.0,50.3,0.5134099616858238,16.1,1.0
1,2.2959086584205517,40.0,80.0,49.25,0.0,15.75,0.0
0,3.0,36.0,52.0,25.325000000000003,0.0,7.775,0.0
0,3.0,17.0,34.0,27.9875,0.0,8.6625,0.0
0,3.0,1.0,2.0,121.0625,4.0,39.6875,1.0
1,3.0,209.0,18.0,63.575,0.0,20.525,0.36084452975047987
1,1.0,64.71582346609257,60.02368137782562,167.0,0.0,55.0,1.0
0,3.0,45.0,90.0,85.69999999999999,1.0,27.9,4.0
0,1.0,64.71582346609257,60.02368137782562,79.775,0.0,32.11631225868726,0.0
0,3.0,28.0,56.0,171.4874,0.0,56.4958,0.0
0,1.0,61.0,122.0,102.5,0.0,33.5,0.0
0,3.0,4.0,8.0,89.375,0.5134099616858238,29.125,1.0
1,3.0,1.0,2.0,35.3999,1.0,11.1333,1.0
0,1.0,66.0,112.0,94.0874,0.0,32.11631225868726,0.0
0,3.0,18.0,36.0,25.5626,1.0,7.8542,1.0
0,3.0,64.71582346609257,60.02368137782562,78.4001,3.0,25.4667,1.0
0,1.0,50.0,100.0,88.13749999999999,0.0,28.7125,0.36084452975047987
0,2.0,30.0,60.0,41.0,0.0,13.0,0.0
0,3.0,36.0,72.0,2.0,0.0,0.0,0.0
0,2.2959086584205517,64.71582346609257,60.02368137782562,210.65,8.0,69.55,2.0
0,2.0,64.71582346609257,60.02368137782562,47.150000000000006,0.0,15.05,0.0
0,3.0,9.0,18.0,96.1625,4.0,31.3875,2.0
1,2.0,1.0,2.0,119.0,2.0,32.11631225868726,1.0
1,3.0,204.0,8.0,68.07499999999999,0.0,22.025,2.0
0,1.0,64.71582346609257,60.02368137782562,152.0,0.0,50.0,0.0
1,3.0,64.71582346609257,60.02368137782562,48.5,1.0,15.5,0.0
1,1.0,45.0,90.0,81.65,0.0,26.55,0.0
0,3.0,40.0,80.0,48.5,1.0,15.5,1.0
0,3.0,236.0,72.0,25.6874,0.0,7.8958,0.0
1,2.2959086584205517,232.0,64.0,41.0,0.0,13.0,0.36084452975047987
0,2.2959086584205517,19.0,38.0,41.0,0.0,32.11631225868726,0.0
1,3.0,19.0,38.0,25.5626,1.0,32.11631225868726,0.0
1,2.0,3.0,6.0,80.0,1.0,26.0,1.0
1,1.0,54.0,88.0,85.1624,0.0,32.11631225868726,0.0
1,1.0,68.0,116.0,441.5624,0.0,146.5208,0.0
0,3.0,64.71582346609257,60.02368137782562,25.25,0.0,7.75,0.36084452975047987
0,3.0,42.0,84.0,27.2126,0.0,8.4042,1.0
0,2.0,24.0,48.0,41.0,0.0,13.0,0.0
0,3.0,28.0,56.0,30.5,0.0,9.5,0.36084452975047987
0,3.0,34.0,68.0,21.4874,0.0,6.4958,0.0
0,3.0,45.5,91.0,23.675,0.0,7.225,0.36084452975047987
1,2.2959086584205517,18.0,36.0,26.15,0.0,8.05,0.36084452975047987
0,2.2959086584205517,2.0,4.0,33.3875,0.0,10.4625,1.0
0,3.0,42.0,64.0,49.55,1.0,15.85,0.0
1,3.0,26.0,52.0,58.3625,0.5134099616858238,18.7875,0.0
1,3.0,16.0,32.0,25.25,0.0,7.75,0.0
1,1.0,50.0,80.0,95.0,0.0,32.11631225868726,0.0
0,3.0,34.0,48.0,23.15,0.0,7.05,0.0
1,2.0,35.0,70.0,65.0,0.0,21.0,0.0
0,3.0,22.0,44.0,23.75,0.0,7.25,0.0
0,2.0,40.0,60.0,41.0,0.0,13.0,0.0
0,3.0,64.71582346609257,60.02368137782562,25.25,1.0,7.75,0.0
1,1.0,31.0,62.0,341.82500000000005,1.0,32.11631225868726,0.0
1,3.0,27.0,54.0,25.775,0.0,7.925,0.0
0,2.0,42.0,84.0,83.0,1.0,27.0,0.0
1,1.0,42.0,64.0,230.87510000000003,0.0,76.2917,0.36084452975047987
0,2.0,230.0,60.0,33.5,0.0,10.5,0.0
1,3.0,26.0,32.0,26.15,0.0,8.05,0.0
0,2.0,27.0,54.0,41.0,0.0,13.0,0.0
0,3.0,51.0,102.0,26.15,0.5134099616858238,8.05,0.36084452975047987
1,1.0,48.0,76.0,272.0,1.0,90.0,0.0
0,3.0,222.0,44.0,30.05,0.0,9.35,0.36084452975047987
1,2.0,219.0,38.0,33.5,0.0,10.5,0.0
0,3.0,20.5,41.0,23.75,0.0,7.25,0.0
0,2.0,218.0,36.0,41.0,0.0,13.0,0.36084452975047987
0,3.0,64.71582346609257,60.02368137782562,78.4001,0.5134099616858238,25.4667,1.0
1,1.0,235.0,70.0,252.425,1.0,83.475,0.0
0,3.0,39.0,58.0,25.325000000000003,0.0,7.775,0.0
0,2.2959086584205517,69.0,118.0,42.5,0.0,13.5,0.0
1,3.0,205.0,10.0,96.1625,0.5134099616858238,31.3875,2.0
0,2.0,24.0,48.0,33.5,0.0,10.5,0.0
0,3.0,64.71582346609257,60.02368137782562,24.65,0.0,7.55,0.0
0,2.0,44.0,88.0,80.0,1.0,26.0,0.0
1,2.0,8.0,16.0,80.75,0.0,32.11631225868726,2.0
0,2.0,19.0,38.0,33.5,0.0,10.5,0.0
0,2.0,33.0,66.0,38.825,0.0,32.11631225868726,0.0
0,3.0,64.71582346609257,60.02368137782562,45.3626,1.0,14.4542,0.0
1,3.0,64.71582346609257,60.02368137782562,48.5,0.5134099616858238,32.11631225868726,0.0
0,2.0,29.0,58.0,33.5,0.0,10.5,0.0
0,3.0,22.0,44.0,23.375,0.0,7.125,0.0
0,2.2959086584205517,30.0,60.0,23.675,0.0,32.11631225868726,0.0
0,1.0,54.0,88.0,272.0,2.0,90.0,0.0
0,3.0,25.0,50.0,25.325000000000003,0.0,32.11631225868726,0.0
1,2.0,34.0,48.0,45.5,0.0,14.5,2.0
1,1.0,237.0,74.0,159.6626,1.0,52.5542,1.0
0,2.0,54.0,108.0,80.0,1.0,26.0,0.0
0,3.0,64.71582346609257,60.02368137782562,23.75,0.0,7.25,0.0
0,3.0,229.0,58.0,33.3875,1.0,10.4625,1.0
0,1.0,62.0,124.0,81.65,0.0,32.11631225868726,0.0
0,3.0,30.0,60.0,50.3,1.0,16.1,0.0
0,3.0,41.0,82.0,62.6375,0.0,20.2125,2.0
1,3.0,229.0,58.0,47.7374,0.0,15.2458,2.0
1,1.0,64.71582346609257,60.02368137782562,239.6,0.0,79.2,0.0
1,2.2959086584205517,30.0,60.0,261.5,0.0,86.5,0.0
1,1.0,35.0,70.0,1538.9876,0.0,512.3292,0.0
1,2.0,50.0,100.0,80.0,0.0,26.0,1.0
1,3.0,3.0,6.0,96.1625,4.0,32.11631225868726,2.0
0,1.0,62.0,104.0,240.95,1.0,32.11631225868726,1.0
0,1.0,240.0,80.0,2.0,0.0,0.0,0.0
0,3.0,64.71582346609257,60.02368137782562,25.25,0.5134099616858238,32.11631225868726,0.36084452975047987
0,2.0,36.0,72.0,33.5,0.0,10.5,0.0
0,2.2959086584205517,26.0,32.0,121.0625,4.0,39.6875,1.0
1,3.0,25.0,50.0,25.325000000000003,1.0,7.775,0.0
1,1.0,68.0,116.0,462.3875000000001,0.0,153.4625,1.0
1,1.0,35.0,70.0,408.8999,0.0,135.6333,0.0
0,1.0,64.71582346609257,60.02368137782562,95.0,0.0,31.0,0.0
1,3.0,25.0,50.0,2.0,0.0,0.0,0.0
1,2.0,41.0,82.0,60.5,0.0,19.5,1.0
0,2.2959086584205517,37.0,74.0,91.1,0.0,29.7,1.0
1,1.0,63.0,126.0,235.8749,1.0,77.9583,0.0
0,3.0,55.0,90.0,25.25,0.0,7.75,0.0
0,2.0,64.71582346609257,60.02368137782562,2.0,0.0,0.0,0.0
0,3.0,7.0,14.0,89.375,4.0,32.11631225868726,1.0
1,2.2959086584205517,35.0,70.0,62.75,1.0,20.25,1.0
0,3.0,65.0,130.0,25.25,0.0,7.75,0.36084452975047987
